,MAPE,RMSE,MAE,NRMSE,NMAE,R2
eIMF_1,1.407,867.1706,633.2568,-12.7059,-9.2786,0.4297
eIMF_2,0.7705,243.3287,189.109,25.7383,20.0032,0.95
eIMF_3,0.1422,41.5892,30.5953,-1.5665,-1.1524,0.9928
eIMF_4,0.1733,18.8291,15.0316,-0.5533,-0.4417,0.9977
eIMF_5,0.1762,7.1685,5.5278,-0.3809,-0.2937,0.9973
eIMF_6,0.0741,7.2203,6.4595,0.0927,0.0829,0.9983
eIMF_7,0.7163,25.6871,25.4111,-0.4379,-0.4332,0.3021
eIMF_8,0.0041,1.2551,1.0074,0.0052,0.0041,0.7362
eIMF_9,0.0085,15.4038,15.0714,0.0087,0.0085,-3733.0699
eIMF_10,0.0012,2.6272,2.4616,0.0013,0.0012,-1.4599
eIMF_11,0.0153,39.1284,31.121,-0.0193,-0.0153,-0.1208
All,134.3896,846.6784,572.9522,0.4599,0.3112,0.7792
